Friction_Mu,Request_Nm,Max_Slip,Min_Torque_Output,Intervened,Verdict
0.02,50,0.033,50.0,False,PASS
0.02,150,0.137,139.8,True,PASS
0.02,250,0.269,160.3,True,PASS
0.02,350,0.429,164.8,True,PASS
0.02,450,0.591,167.7,True,PASS
0.05,50,0.013,50.0,False,PASS
0.05,150,0.04,150.0,False,PASS
0.05,250,0.074,250.0,False,PASS
0.05,350,0.13,344.1,True,PASS
0.05,450,0.217,391.5,True,PASS
0.1,50,0.006,50.0,False,PASS
0.1,150,0.019,150.0,False,PASS
0.1,250,0.033,250.0,False,PASS
0.1,350,0.047,350.0,False,PASS
0.1,450,0.064,450.0,False,PASS
0.2,50,0.003,50.0,False,PASS
0.2,150,0.01,150.0,False,PASS
0.2,250,0.016,250.0,False,PASS
0.2,350,0.022,350.0,False,PASS
0.2,450,0.029,450.0,False,PASS
0.4,50,0.002,50.0,False,PASS
0.4,150,0.005,150.0,False,PASS
0.4,250,0.008,250.0,False,PASS
0.4,350,0.011,350.0,False,PASS
0.4,450,0.014,450.0,False,PASS
0.6,50,0.001,50.0,False,PASS
0.6,150,0.003,150.0,False,PASS
0.6,250,0.006,250.0,False,PASS
0.6,350,0.008,350.0,False,PASS
0.6,450,0.01,450.0,False,PASS
0.8,50,0.001,50.0,False,PASS
0.8,150,0.003,150.0,False,PASS
0.8,250,0.005,250.0,False,PASS
0.8,350,0.008,350.0,False,PASS
0.8,450,0.01,450.0,False,PASS
0.9,50,0.002,50.0,False,PASS
0.9,150,0.002,150.0,False,PASS
0.9,250,0.005,250.0,False,PASS
0.9,350,0.007,350.0,False,PASS
0.9,450,0.009,450.0,False,PASS
